"","NOM019","DLF012","DLM003","DOF004","NOM005","NLM007","DLM002","DOM026","NLM010","NOM015"
"COG0001",8,5,1,0,1,2,0,1,4,0
"COG0002",10,6,3,2,4,5,5,3,6,6
"COG0003",0,0,0,1,0,0,4,3,2,1
"COG0004",4,11,0,2,4,1,7,8,6,9
"COG0005",4,1,2,4,2,0,1,4,1,2
"COG0006",13,10,11,12,19,17,14,15,8,8
"COG0007",2,3,0,1,2,2,2,4,2,0
"COG0008",19,11,10,8,11,13,16,7,11,16
"COG0009",1,2,3,1,1,6,8,6,7,3
"COG0010",0,0,5,2,4,1,0,0,1,0
"COG0011",0,0,0,0,0,0,0,0,0,0
"COG0012",5,7,1,4,7,3,8,7,5,4
"COG0013",13,9,10,5,8,11,2,7,10,17
"COG0014",6,6,3,2,2,4,9,3,2,6
"COG0015",2,1,4,2,1,12,7,4,9,4
"COG0016",4,6,3,5,5,6,6,2,2,7
"COG0017",8,8,5,1,5,9,6,5,7,8
"COG0018",11,8,8,7,3,10,7,9,12,8
"COG0019",10,12,5,15,11,4,3,2,1,4
"COG0020",5,1,3,2,0,6,6,4,1,3
"COG0021",7,3,5,3,6,3,10,2,6,3
"COG0022",1,0,1,0,0,1,1,0,0,1
"COG0023",0,0,2,1,0,3,0,0,0,2
"COG0024",7,2,6,7,6,9,5,6,10,5
"COG0025",0,2,1,2,2,0,1,0,0,0
"COG0026",0,0,0,0,0,0,1,0,0,0
"COG0027",2,0,1,4,0,1,0,2,1,1
"COG0028",5,12,14,11,13,12,13,12,12,11
"COG0029",7,4,9,5,4,4,6,7,10,5
"COG0030",3,7,2,11,4,6,13,9,5,7
"COG0031",8,3,5,11,5,6,9,8,6,1
"COG0033",1,1,0,1,2,0,0,0,0,0
"COG0034",14,6,8,12,9,12,8,5,10,6
"COG0035",4,3,7,3,3,1,4,3,3,1
"COG0036",3,3,4,2,5,2,6,5,0,3
"COG0037",14,11,7,13,10,18,12,11,10,17
"COG0038",14,3,3,9,14,8,6,10,10,9
"COG0039",8,5,4,6,5,8,7,3,5,7
"COG0040",2,3,0,1,5,5,3,1,3,2
"COG0041",1,3,0,0,0,4,3,3,3,4
"COG0042",2,0,3,2,2,8,6,8,13,6
"COG0043",0,0,0,0,1,0,1,0,0,1
"COG0044",8,9,4,3,5,3,6,4,14,11
"COG0045",0,0,0,0,2,0,1,0,1,1
"COG0046",4,5,3,8,3,10,26,16,8,23
"COG0047",12,11,7,8,7,8,16,12,8,12
"COG0048",2,2,3,2,4,1,3,2,1,1
"COG0049",3,2,2,2,4,5,3,3,5,2
"COG0050",10,4,5,9,4,8,4,1,5,13
"COG0051",0,1,2,3,4,1,4,1,0,2
"COG0052",1,2,2,1,2,2,0,2,5,2
"COG0053",7,3,8,2,5,4,6,4,9,5
"COG0054",2,3,4,4,2,2,1,2,3,4
"COG0055",13,9,9,9,4,14,12,5,11,3
"COG0056",9,8,6,11,8,11,7,8,13,7
"COG0057",10,3,1,6,8,1,8,1,4,4
"COG0058",20,19,10,14,14,11,14,13,15,7
"COG0059",0,4,4,3,3,10,0,3,3,8
"COG0060",14,13,8,17,4,7,7,9,12,13
"COG0061",2,3,5,2,5,1,5,2,3,6
"COG0062",8,6,6,6,2,1,5,0,3,0
"COG0063",4,4,2,2,4,6,2,3,5,5
"COG0064",1,4,2,1,1,1,5,1,3,0
"COG0065",10,10,5,9,7,4,5,5,9,6
"COG0066",1,4,0,4,1,3,3,4,0,2
"COG0067",5,6,4,16,3,7,10,8,15,9
"COG0068",0,0,1,1,3,3,2,1,1,1
"COG0069",4,11,1,9,13,8,15,10,12,9
"COG0070",7,8,5,5,13,6,9,14,7,9
"COG0071",1,7,3,1,8,3,4,3,1,3
"COG0072",11,8,8,7,8,7,8,7,8,10
"COG0073",17,12,21,15,10,12,16,11,11,18
"COG0074",0,2,0,0,3,1,0,0,1,1
"COG0075",3,2,1,5,1,2,4,4,3,2
"COG0076",1,1,4,2,3,1,1,1,3,1
"COG0077",5,4,7,3,6,9,4,5,7,4
"COG0078",2,5,8,8,5,9,5,3,7,8
"COG0079",6,9,11,14,7,2,0,3,2,5
"COG0080",3,3,2,3,3,3,4,2,1,5
"COG0081",6,5,2,3,1,3,7,5,4,2
"COG0082",1,3,0,1,1,1,4,1,3,5
"COG0083",0,0,0,0,2,2,0,1,3,0
"COG0084",4,5,8,5,7,4,3,6,7,7
"COG0085",23,15,18,14,16,20,20,21,12,25
"COG0086",22,14,12,13,14,10,9,12,8,20
"COG0087",7,4,3,0,2,3,3,4,4,2
"COG0088",5,1,4,2,2,2,6,1,6,3
"COG0089",8,1,1,1,0,1,3,4,2,1
"COG0090",1,3,1,7,2,1,0,2,1,2
"COG0091",2,2,3,0,3,2,6,4,2,1
"COG0092",3,3,6,3,1,3,4,6,1,0
"COG0093",4,1,1,2,3,4,3,3,1,2
