"","X41_DCM_0.0d2","X96_SUR_0d2.3","X78_MES_0d2.3","X25_SUR_0d2.1d6","X38_OMZ_0d2.1d6","X132_DCM_0d2.3","X76_SUR_0d2.0d45","X149_SUR_0d2.3","X142_MES_0d2.3","X70_SUR_0d45.0d8","X76_SUR_0.0d2","X7_SUR_0d2.1d6","X93_SUR_0d2.3","X76_MES_0d2.3","X78_SUR_0d45.0d8","X4_DCM_0d2.1d6","X142_DCM_0d2.3","X37_OMZ_0d2.1d6","X38_SUR_0d2.1d6","X141_SUR_0d2.3"
"COG0001",2,5,18,6,9,7,4,7,8,8,5,4,6,11,4,11,5,4,7,2
"COG0002",1,9,7,7,2,1,4,5,5,5,3,3,4,7,8,2,8,1,3,4
"COG0003",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
"COG0004",11,22,13,26,13,11,20,26,8,10,5,25,15,9,16,12,16,14,18,13
"COG0005",0,2,3,6,5,2,4,4,2,2,5,5,3,4,15,2,5,9,8,6
"COG0006",4,19,30,20,42,15,14,25,27,22,12,25,17,31,10,24,19,25,29,27
"COG0007",6,1,5,1,7,2,0,2,1,2,4,1,0,5,2,1,1,3,4,1
"COG0008",9,14,19,10,13,15,15,23,22,10,9,5,13,18,13,9,7,8,8,8
"COG0009",4,6,10,7,4,10,9,3,4,4,4,3,7,7,6,10,5,5,8,6
"COG0010",1,9,10,10,6,6,12,13,12,6,3,11,5,4,9,8,9,8,7,12
"COG0011",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"COG0012",3,12,7,7,9,6,13,15,3,8,6,11,9,6,7,6,13,14,15,4
"COG0013",7,27,17,17,16,18,19,21,18,15,9,18,19,12,11,21,25,20,22,17
"COG0014",5,12,6,7,7,5,8,7,6,7,9,1,11,4,6,8,12,9,11,7
"COG0015",4,12,5,12,6,9,12,7,8,9,3,10,11,8,8,8,13,6,16,7
"COG0016",2,7,6,7,5,4,5,8,6,9,1,11,5,10,6,4,13,2,9,6
"COG0017",0,0,8,0,3,4,3,10,8,5,2,4,4,6,3,6,8,5,2,1
"COG0018",3,18,8,11,5,18,17,14,9,14,8,4,18,7,8,14,12,14,15,8
"COG0019",7,20,10,18,10,9,12,6,9,6,16,15,17,8,4,11,9,6,13,9
"COG0020",1,1,4,5,1,11,6,9,1,4,6,4,1,5,4,9,8,5,4,6
"COG0021",1,18,9,11,14,12,11,8,10,12,4,15,5,3,6,3,6,14,7,8
"COG0022",4,8,6,8,9,10,2,5,9,7,8,6,9,11,9,12,10,12,8,9
"COG0023",0,0,1,1,0,1,0,0,1,1,0,0,2,2,1,2,0,3,1,1
"COG0024",5,10,2,8,5,10,5,5,3,6,5,3,10,4,8,4,11,7,6,7
"COG0025",9,0,0,1,2,4,4,2,1,0,10,5,1,1,9,1,4,6,5,3
"COG0026",4,10,4,3,4,2,5,10,2,2,4,11,9,6,7,9,4,0,7,1
"COG0027",1,1,0,1,0,0,2,2,0,1,2,0,1,1,3,1,2,0,1,5
"COG0028",14,25,49,37,40,32,30,28,29,25,14,35,13,33,33,22,23,32,29,34
"COG0029",2,4,0,2,2,3,3,3,0,2,4,3,3,0,3,4,2,4,6,5
"COG0030",0,2,8,8,5,7,7,6,4,5,0,4,3,7,5,7,13,7,12,6
"COG0031",4,8,10,8,7,9,11,12,8,11,8,11,13,6,12,6,5,7,9,9
"COG0033",1,1,0,3,1,0,4,1,0,0,3,1,2,0,8,1,2,1,2,1
"COG0034",3,19,5,9,11,7,14,12,13,16,7,19,13,7,13,9,13,6,9,13
"COG0035",0,2,0,2,1,4,1,1,2,1,2,1,2,5,5,2,3,0,1,1
"COG0036",3,2,4,3,6,8,11,8,5,7,5,5,3,1,6,5,9,3,3,7
"COG0037",4,8,14,14,10,9,7,11,9,14,5,10,8,13,13,6,7,12,8,9
"COG0038",0,0,0,1,0,4,1,3,6,2,2,1,3,1,4,2,3,1,4,2
"COG0039",1,8,8,7,7,7,9,5,11,7,6,14,2,4,3,5,10,4,8,9
"COG0040",0,1,3,6,3,7,1,2,2,1,3,5,1,6,5,4,5,3,1,6
"COG0041",0,4,2,4,3,1,7,6,4,2,0,2,7,4,3,5,6,1,7,5
"COG0042",1,4,4,4,4,5,9,5,1,5,2,9,3,8,14,11,12,3,10,9
"COG0043",2,0,8,1,6,1,0,8,6,3,0,4,0,7,2,5,7,11,2,2
"COG0044",4,13,16,16,13,18,22,16,11,10,10,15,8,13,10,10,13,16,22,13
"COG0045",3,9,13,11,6,5,20,16,10,9,5,8,15,6,5,8,7,6,10,9
"COG0046",6,23,20,19,12,17,20,17,14,17,7,19,17,15,19,13,18,22,17,23
"COG0047",5,5,9,10,5,7,10,16,11,15,2,9,10,4,5,17,9,6,10,5
"COG0048",1,2,2,1,3,2,1,5,5,2,2,7,4,3,8,3,3,2,2,4
"COG0049",0,2,3,3,0,1,6,3,2,3,2,5,3,4,2,5,11,6,2,5
"COG0050",4,10,5,9,5,7,7,9,4,10,3,5,10,6,14,11,7,7,7,6
"COG0051",0,4,0,2,0,2,3,3,1,4,1,2,1,1,2,4,1,2,1,2
"COG0052",3,7,10,4,5,6,7,6,6,3,2,9,2,7,6,9,9,8,4,4
"COG0053",1,0,3,0,6,1,1,1,3,1,2,0,0,2,1,2,2,0,1,1
"COG0054",1,1,2,1,2,4,3,3,5,6,2,10,1,2,4,2,3,1,2,3
"COG0055",3,9,5,8,6,13,10,12,4,15,5,19,14,6,10,10,11,11,8,10
"COG0056",0,20,8,15,13,9,14,9,9,10,4,16,12,2,10,15,9,13,11,12
"COG0057",9,14,8,13,16,11,9,14,7,8,8,11,13,10,8,11,15,8,11,4
