"","DLM017","NOM010","NLM009","DOF006","DLM002","DLM008"
"COG0001",1,1,0,0,1,0
"COG0002",7,2,3,5,5,1
"COG0003",1,0,0,5,0,0
"COG0004",9,7,12,3,5,8
"COG0005",1,2,3,0,4,4
"COG0006",10,5,16,15,13,11
"COG0007",0,3,0,1,3,2
"COG0008",22,12,25,7,8,17
"COG0009",4,8,1,7,7,5
"COG0010",1,2,0,1,1,0
"COG0012",10,3,6,6,2,7
"COG0013",18,13,12,12,11,12
"COG0014",4,5,2,5,8,5
"COG0015",8,6,10,4,5,8
"COG0016",2,1,1,6,6,6
"COG0017",9,3,6,6,5,9
"COG0018",7,8,8,10,4,8
"COG0019",6,6,10,3,15,9
"COG0020",5,3,3,3,7,5
"COG0021",7,3,7,5,6,2
"COG0022",0,1,0,3,1,1
"COG0023",0,2,0,1,0,2
"COG0024",9,9,5,3,8,5
"COG0025",0,1,0,3,3,0
"COG0026",1,0,0,0,1,0
"COG0027",1,3,5,1,2,3
"COG0028",7,8,13,11,10,9
"COG0029",5,4,6,6,5,5
"COG0030",6,4,12,2,9,9
"COG0031",5,7,2,4,9,8
"COG0034",15,4,7,5,7,14
"COG0035",6,4,2,2,2,4
"COG0036",6,4,4,3,4,3
"COG0037",9,21,9,4,19,18
"COG0038",7,8,8,8,2,8
"COG0039",3,5,7,2,2,15
"COG0040",8,5,1,1,1,2
"COG0041",2,5,4,3,3,5
"COG0042",9,6,12,7,7,8
"COG0043",1,1,0,1,1,1
"COG0044",6,7,4,5,8,8
"COG0045",0,0,0,1,0,0
"COG0046",11,16,14,6,18,12
"COG0047",18,11,19,9,9,3
"COG0048",4,3,7,1,2,3
"COG0049",4,3,1,3,1,3
"COG0050",5,7,4,5,7,3
"COG0051",2,2,5,0,3,1
"COG0052",4,6,4,5,2,3
"COG0053",4,3,5,3,3,3
"COG0054",5,3,4,1,2,4
"COG0055",14,9,7,6,10,8
"COG0056",10,12,7,5,5,6
"COG0057",9,2,9,1,7,4
"COG0058",15,15,8,8,12,13
"COG0059",4,7,2,5,4,5
"COG0060",17,17,12,18,10,19
"COG0061",7,3,3,4,4,1
"COG0062",4,3,7,4,1,7
"COG0063",7,6,6,3,4,4
"COG0064",5,3,1,0,5,2
"COG0065",4,3,7,4,2,3
"COG0066",1,1,4,3,2,2
"COG0067",12,12,12,9,17,9
"COG0068",0,1,0,1,4,0
"COG0069",13,11,7,14,8,9
"COG0070",10,9,10,7,8,10
"COG0071",7,3,7,2,1,4
"COG0072",10,10,3,6,6,10
"COG0073",14,20,13,15,15,19
"COG0074",0,0,0,1,0,0
"COG0075",1,4,13,5,4,1
"COG0076",1,4,0,3,2,0
"COG0077",8,2,6,3,5,4
"COG0078",8,8,5,6,6,7
"COG0079",9,15,12,5,10,7
"COG0080",8,1,4,0,6,2
"COG0081",2,2,4,0,5,5
"COG0082",7,2,3,3,4,5
"COG0083",1,0,0,2,0,0
"COG0084",7,7,6,8,3,6
"COG0085",16,22,21,11,9,12
"COG0086",20,13,16,13,16,11
"COG0087",3,5,6,2,4,1
"COG0088",2,2,4,4,2,3
"COG0089",2,1,2,1,3,2
"COG0090",3,4,5,1,3,2
"COG0091",6,2,3,3,4,3
"COG0092",6,2,8,2,5,2
"COG0093",1,3,7,1,3,3
"COG0094",3,2,2,7,4,5
"COG0095",0,0,1,2,2,4
"COG0096",3,4,3,1,2,2
"COG0097",1,4,6,2,4,4
"COG0098",8,5,5,2,1,8
"COG0099",1,5,5,2,2,2
"COG0100",1,1,4,0,2,3
"COG0101",4,3,5,4,5,5
"COG0102",2,2,0,1,1,2
"COG0103",3,2,2,2,4,3
"COG0104",9,5,6,3,4,8
"COG0105",1,0,0,2,2,1
"COG0106",3,3,1,4,1,2
"COG0107",3,1,4,1,2,4
"COG0108",10,5,5,4,7,0
"COG0110",12,11,16,28,22,15
"COG0111",18,6,4,2,7,8
"COG0112",7,6,6,2,8,5
"COG0113",1,2,0,1,4,0
"COG0114",0,0,0,1,0,3
"COG0115",9,4,11,8,6,7
"COG0116",2,4,5,5,4,6
"COG0117",8,1,8,2,6,3
"COG0118",1,0,3,3,2,4
"COG0119",15,6,8,13,19,11
"COG0120",0,0,0,1,0,0
"COG0122",4,0,0,3,1,2
"COG0124",8,5,8,4,10,7
"COG0125",0,0,0,0,2,0
"COG0126",6,8,9,5,4,6
"COG0127",5,4,6,1,2,3
"COG0128",5,10,7,6,7,3
"COG0129",8,8,9,9,5,14
"COG0130",3,2,7,1,2,2
"COG0131",2,6,3,5,1,4
"COG0132",0,1,1,1,1,3
"COG0133",4,2,5,4,4,4
"COG0134",5,4,2,2,1,3
"COG0135",1,3,3,0,0,1
"COG0136",5,3,7,6,3,5
"COG0137",7,9,6,5,5,6
"COG0138",12,9,8,5,4,10
"COG0139",0,3,3,1,3,8
"COG0140",3,0,1,1,5,2
"COG0141",5,5,7,2,2,3
"COG0142",13,5,12,10,7,5
"COG0143",10,6,10,4,4,5
"COG0144",5,5,10,5,19,4
"COG0145",0,0,0,1,0,1
"COG0147",5,11,4,4,8,10
"COG0148",3,2,2,3,4,6
"COG0149",4,3,1,2,6,2
"COG0150",4,3,8,1,3,7
"COG0151",9,5,7,6,1,3
"COG0152",5,2,1,4,6,5
"COG0153",8,4,8,5,4,8
"COG0154",3,2,1,0,5,5
"COG0155",0,0,0,0,0,1
"COG0156",7,10,9,7,5,8
"COG0157",5,1,6,1,5,4
"COG0159",5,3,4,1,4,3
"COG0160",0,2,1,0,3,2
"COG0161",3,5,0,6,3,5
"COG0162",8,9,4,0,14,5
"COG0164",3,2,5,2,4,1
"COG0165",10,2,10,6,12,9
"COG0166",6,3,4,6,5,10
"COG0167",7,7,3,5,4,5
"COG0168",12,12,9,14,8,10
"COG0169",4,0,3,0,7,8
"COG0171",12,4,7,8,3,4
"COG0172",2,4,11,1,7,10
"COG0173",2,11,5,1,5,8
"COG0174",3,2,1,3,1,6
"COG0175",2,2,1,5,5,2
"COG0176",2,2,1,1,1,3
"COG0177",1,3,9,6,5,2
"COG0178",27,15,26,19,13,20
"COG0179",3,2,2,1,2,1
"COG0180",4,9,6,5,5,6
"COG0181",3,1,1,0,0,0
"COG0182",2,0,1,0,0,1
"COG0183",0,2,1,2,1,3
"COG0184",0,0,1,3,3,1
"COG0185",2,1,0,3,0,3
"COG0186",2,1,5,0,6,2
"COG0187",15,10,16,13,19,10
"COG0188",15,22,27,6,8,13
"COG0189",0,1,0,0,1,3
"COG0190",3,4,6,5,1,7
