"","DLM005","DLM001","DLF007","DLM014","NOF013","NOM008"
"COG0001",4,1,1,1,3,2
"COG0002",3,3,4,2,5,1
"COG0003",2,1,1,1,3,1
"COG0004",6,3,2,4,6,3
"COG0005",3,1,3,7,0,2
"COG0006",8,14,11,18,15,18
"COG0007",1,0,0,2,1,1
"COG0008",20,16,10,12,10,12
"COG0009",8,7,5,9,6,3
"COG0010",3,3,0,1,0,2
"COG0012",7,3,2,3,6,7
"COG0013",10,6,8,10,8,14
"COG0014",6,5,2,3,6,4
"COG0015",6,7,5,8,5,6
"COG0016",5,3,3,6,4,9
"COG0017",5,3,4,11,12,11
"COG0018",9,5,8,10,6,12
"COG0019",10,5,12,11,7,7
"COG0020",2,3,2,3,5,2
"COG0021",5,5,3,3,5,3
"COG0022",2,1,2,1,0,0
"COG0023",1,1,4,2,1,1
"COG0024",4,2,3,6,5,7
"COG0025",1,1,1,0,0,1
"COG0026",1,1,0,0,0,0
"COG0027",3,5,0,2,1,2
"COG0028",9,11,11,14,8,4
"COG0029",4,3,12,6,5,6
"COG0030",13,4,5,5,5,2
"COG0031",1,3,2,7,4,10
"COG0033",2,0,0,0,0,0
"COG0034",8,12,11,7,7,12
"COG0035",3,4,3,5,2,3
"COG0036",4,3,4,3,3,4
"COG0037",7,12,4,6,10,8
"COG0038",7,13,14,15,6,6
"COG0039",6,9,6,5,8,7
"COG0040",1,1,3,2,1,2
"COG0041",3,4,1,4,0,3
"COG0042",3,7,4,6,7,12
"COG0043",1,3,0,0,0,0
"COG0044",7,8,10,5,5,8
"COG0045",1,2,3,0,0,0
"COG0046",12,16,2,14,14,13
"COG0047",11,8,9,14,13,7
"COG0048",3,2,1,1,1,0
"COG0049",4,5,2,2,4,4
"COG0050",4,7,7,8,2,11
"COG0051",5,4,3,0,1,2
"COG0052",1,2,2,4,0,1
"COG0053",9,2,7,8,1,4
"COG0054",0,2,1,4,1,3
"COG0055",6,7,5,14,6,2
"COG0056",7,7,3,11,6,8
"COG0057",3,5,2,2,5,7
"COG0058",14,8,7,20,9,11
"COG0059",5,8,2,3,4,9
"COG0060",11,16,11,26,13,8
"COG0061",2,6,4,3,0,2
"COG0062",2,2,3,3,3,5
"COG0063",6,6,6,3,6,5
"COG0064",2,2,1,0,2,2
"COG0065",3,3,6,9,7,2
"COG0066",0,4,2,4,5,1
"COG0067",12,7,5,7,21,8
"COG0068",1,1,0,1,0,1
"COG0069",5,15,6,8,16,6
"COG0070",8,17,11,9,12,9
"COG0071",4,5,6,2,6,4
"COG0072",6,11,5,8,4,8
"COG0073",14,16,8,16,14,19
"COG0074",3,2,2,2,0,0
"COG0075",1,3,4,3,4,2
"COG0076",2,4,2,2,1,4
"COG0077",6,3,1,7,4,2
"COG0078",7,6,5,7,8,1
"COG0079",8,6,17,13,14,5
"COG0080",3,1,2,0,0,3
"COG0081",8,2,2,6,1,2
"COG0082",3,4,4,4,2,5
"COG0083",1,1,0,1,1,0
"COG0084",8,1,8,2,1,1
"COG0085",15,18,7,24,22,21
"COG0086",12,21,6,27,19,9
"COG0087",7,1,3,5,1,2
"COG0088",2,2,4,2,5,2
"COG0089",2,1,4,2,2,4
"COG0090",5,4,5,5,2,1
"COG0091",5,1,3,1,1,0
"COG0092",4,3,2,4,2,4
"COG0093",1,1,0,1,1,2
"COG0094",4,1,4,5,2,3
"COG0095",2,1,1,3,0,0
"COG0096",2,0,3,3,3,4
"COG0097",3,3,3,0,0,2
"COG0098",3,2,1,7,3,3
"COG0099",1,1,1,0,1,1
"COG0100",1,1,1,2,3,3
"COG0101",4,6,2,3,4,3
"COG0102",3,4,2,1,0,1
"COG0103",3,2,3,2,0,2
"COG0104",9,7,1,5,10,6
"COG0105",1,1,2,1,0,2
"COG0106",3,3,3,1,4,2
"COG0107",2,3,1,2,5,6
"COG0108",4,5,3,5,8,7
"COG0110",19,18,20,12,15,14
"COG0111",8,15,13,6,9,8
"COG0112",13,5,2,6,6,3
"COG0113",0,0,1,0,0,0
"COG0114",0,1,1,1,1,0
"COG0115",9,5,8,8,2,9
"COG0116",5,3,3,3,7,4
"COG0117",2,3,3,8,5,4
"COG0118",1,0,3,3,1,1
"COG0119",10,8,10,7,12,11
"COG0120",1,1,2,1,4,2
"COG0122",2,1,0,0,3,0
"COG0123",1,0,0,1,0,1
"COG0124",6,6,1,2,1,4
"COG0125",0,1,1,2,1,1
"COG0126",8,6,2,9,5,2
"COG0127",3,3,6,1,5,3
"COG0128",5,5,6,2,0,1
"COG0129",7,17,3,0,5,2
"COG0130",4,7,1,4,1,2
"COG0131",3,3,1,6,1,3
"COG0132",1,0,1,3,1,2
"COG0133",1,7,1,4,1,0
"COG0134",2,2,1,2,2,6
"COG0135",1,1,1,0,4,0
"COG0136",5,6,2,9,4,4
"COG0137",1,0,3,6,8,6
"COG0138",10,9,11,2,1,2
"COG0139",9,2,2,0,1,0
"COG0140",2,2,1,3,3,6
"COG0141",7,7,1,1,4,3
"COG0142",9,10,6,8,3,11
"COG0143",8,9,6,15,6,10
"COG0144",9,4,7,5,4,4
"COG0145",0,0,0,0,0,1
"COG0146",0,0,0,1,0,0
"COG0147",6,7,7,10,8,5
"COG0148",2,3,0,4,6,7
"COG0149",3,3,5,4,6,1
"COG0150",2,5,3,4,4,6
"COG0151",3,7,1,8,5,3
"COG0152",4,3,2,4,1,7
"COG0153",5,5,6,5,5,4
"COG0154",1,3,1,4,4,0
"COG0155",2,1,0,1,0,0
"COG0156",14,7,29,8,11,16
"COG0157",6,2,4,1,2,5
"COG0158",0,0,0,0,0,1
"COG0159",1,1,1,2,4,6
"COG0160",2,1,2,0,0,0
"COG0161",2,5,1,5,3,3
"COG0162",4,2,1,9,7,3
"COG0163",0,2,0,0,0,0
"COG0164",5,2,1,2,4,4
"COG0165",7,11,3,5,1,4
"COG0166",10,7,7,10,4,7
"COG0167",6,8,13,7,7,3
"COG0168",12,16,14,9,15,16
"COG0169",4,2,6,1,3,1
"COG0171",10,9,3,9,5,6
"COG0172",2,6,3,9,1,4
"COG0173",7,8,6,7,9,7
"COG0174",4,4,5,3,3,5
"COG0175",1,5,7,4,0,4
"COG0176",3,4,1,3,2,2
"COG0177",2,5,3,4,4,1
"COG0178",17,22,25,20,13,15
"COG0179",7,3,2,3,3,3
"COG0180",3,3,4,9,6,4
"COG0181",2,0,1,1,0,0
"COG0182",3,0,1,3,0,1
"COG0183",4,1,0,0,1,1
"COG0184",3,1,4,0,2,3
"COG0185",1,0,6,0,0,2
"COG0186",2,1,2,0,0,0
"COG0187",15,22,11,22,13,14
"COG0188",23,19,19,18,18,7
"COG0189",2,1,0,0,2,1
"COG0190",1,2,3,6,2,4
"COG0191",6,8,8,6,4,6
"COG0192",5,5,4,6,6,5
"COG0193",2,2,3,1,3,1
"COG0194",4,8,0,4,3,3
"COG0195",7,4,5,4,1,3
"COG0196",3,1,1,1,6,8
"COG0197",2,1,0,0,0,0
"COG0198",1,1,2,2,1,0
"COG0199",2,0,1,0,1,1
"COG0200",1,4,3,2,3,4
"COG0201",5,5,9,7,8,10
"COG0202",3,2,2,4,6,6
"COG0203",3,1,0,1,3,0
"COG0204",10,9,8,7,6,10
"COG0205",14,12,16,12,11,22
"COG0206",2,6,3,6,5,7
"COG0207",0,2,0,4,2,3
"COG0208",1,0,1,1,1,0
"COG0209",6,7,10,13,6,8
"COG0210",17,13,17,10,16,11
"COG0211",1,3,1,1,2,0
"COG0212",1,0,1,2,5,4
"COG0213",1,0,0,0,2,1
"COG0214",1,4,0,1,0,1
"COG0215",5,11,3,9,4,9
"COG0216",7,2,3,3,3,2
"COG0217",1,5,4,4,4,5
"COG0218",2,3,0,1,3,1
"COG0219",4,0,1,0,0,0
"COG0220",2,1,4,0,1,2
"COG0221",0,0,0,0,0,2
"COG0222",1,2,2,2,1,2
"COG0223",3,8,8,4,5,8
"COG0224",5,1,2,5,4,3
