"","DOF008","DLF005","NOF012","NLM001","NLM024","NOM002"
"COG0001",1,0,0,0,0,5
"COG0002",3,3,2,4,1,3
"COG0003",0,0,2,0,1,1
"COG0004",7,5,4,10,6,8
"COG0005",3,3,2,4,7,3
"COG0006",9,10,10,17,12,9
"COG0007",0,2,2,0,1,9
"COG0008",13,15,17,15,17,14
"COG0009",5,3,8,5,5,4
"COG0010",3,2,2,3,0,1
"COG0012",7,4,5,6,8,5
"COG0013",8,8,15,10,11,14
"COG0014",3,2,3,4,4,2
"COG0015",6,9,6,6,6,3
"COG0016",5,4,8,1,2,1
"COG0017",4,7,5,7,4,7
"COG0018",13,5,10,9,13,7
"COG0019",13,16,8,8,7,12
"COG0020",3,4,3,5,5,3
"COG0021",5,2,6,5,11,6
"COG0022",0,0,1,0,1,0
"COG0023",1,0,1,1,1,0
"COG0024",4,6,6,10,4,8
"COG0025",4,2,2,4,0,2
"COG0026",0,1,0,0,2,1
"COG0027",2,0,2,1,6,1
"COG0028",10,12,5,10,8,22
"COG0029",1,4,7,6,9,5
"COG0030",10,8,5,6,3,7
"COG0031",4,6,2,4,4,5
"COG0034",13,6,5,11,7,9
"COG0035",7,3,4,5,5,0
"COG0036",2,6,5,5,2,4
"COG0037",11,17,17,13,4,16
"COG0038",12,7,5,5,6,6
"COG0039",3,2,2,7,7,7
"COG0040",3,3,2,6,2,2
"COG0041",7,4,2,4,5,1
"COG0042",8,7,7,6,4,10
"COG0043",0,1,0,0,0,1
"COG0044",6,7,9,7,7,9
"COG0046",3,3,1,17,21,13
"COG0047",12,13,12,13,14,12
"COG0048",0,4,5,8,0,3
"COG0049",3,4,4,1,0,4
"COG0050",5,7,10,4,10,4
"COG0051",2,2,5,2,0,4
"COG0052",1,4,5,5,4,3
"COG0053",6,5,5,6,1,4
"COG0054",2,0,3,3,3,2
"COG0055",10,10,8,7,5,17
"COG0056",1,2,2,11,8,23
"COG0057",5,6,2,7,6,5
"COG0058",11,7,5,12,14,21
"COG0059",8,4,2,6,2,1
"COG0060",15,13,24,17,16,19
"COG0061",2,5,2,2,4,1
"COG0062",0,6,1,4,7,1
"COG0063",8,5,4,6,6,6
"COG0064",6,7,9,2,0,5
"COG0065",4,8,5,5,4,6
"COG0066",2,0,0,3,4,2
"COG0067",4,5,2,13,19,11
"COG0068",0,1,0,0,1,3
"COG0069",8,17,10,14,13,12
"COG0070",16,7,6,10,14,13
"COG0071",5,6,2,7,4,1
"COG0072",10,7,13,11,7,7
"COG0073",10,19,20,19,22,18
"COG0074",0,0,1,1,0,1
"COG0075",3,4,1,5,6,5
"COG0076",0,0,2,1,2,1
"COG0077",2,5,4,2,3,4
"COG0078",2,9,4,4,5,3
"COG0079",7,8,9,9,6,9
"COG0080",4,3,3,1,3,2
"COG0081",5,7,7,2,4,5
"COG0082",5,3,2,3,6,3
"COG0083",2,0,1,0,0,0
"COG0084",3,5,4,8,5,8
"COG0085",20,7,17,14,24,19
"COG0086",17,25,30,21,17,12
"COG0087",6,7,1,7,3,1
"COG0088",8,2,5,5,3,4
"COG0089",1,3,1,7,1,0
"COG0090",6,3,8,2,4,4
"COG0091",3,4,4,5,1,5
"COG0092",4,4,3,4,3,3
"COG0093",2,3,1,7,7,3
"COG0094",3,2,6,6,6,3
"COG0095",0,1,0,1,1,1
"COG0096",5,4,2,7,7,4
"COG0097",4,3,3,7,2,3
"COG0098",1,0,8,5,4,6
"COG0099",5,1,4,4,1,3
"COG0100",2,4,5,1,2,4
"COG0101",6,4,5,4,3,9
"COG0102",1,4,5,3,1,1
"COG0103",1,2,3,0,1,2
"COG0104",0,9,2,2,13,16
"COG0105",0,0,4,0,0,0
"COG0106",2,3,4,7,4,0
"COG0107",1,5,3,1,1,5
"COG0108",1,7,2,3,7,4
"COG0110",12,14,14,12,9,11
"COG0111",7,10,9,8,8,8
"COG0112",3,2,1,3,8,3
"COG0113",3,0,1,1,1,2
"COG0114",1,0,0,0,1,0
"COG0115",1,7,3,6,3,11
"COG0116",8,3,3,3,4,3
"COG0117",2,5,2,4,3,5
"COG0118",0,2,0,2,1,3
"COG0119",14,13,11,5,12,14
"COG0120",0,0,1,1,0,0
"COG0122",0,2,0,0,0,0
"COG0124",7,8,11,7,8,4
"COG0125",3,2,1,0,0,2
"COG0126",4,5,6,6,11,4
"COG0127",4,10,1,3,6,3
"COG0128",3,9,4,2,1,4
"COG0129",8,9,6,5,9,15
"COG0130",3,4,2,3,1,2
"COG0131",2,0,4,3,1,4
"COG0132",2,0,1,0,1,1
"COG0133",6,9,0,5,5,3
"COG0134",7,2,1,2,6,7
"COG0135",1,3,0,0,3,2
"COG0136",6,11,1,8,11,2
"COG0137",4,8,4,7,3,7
"COG0138",6,4,3,10,12,6
"COG0139",1,5,5,2,3,2
"COG0140",0,0,0,4,4,1
"COG0141",6,4,1,7,4,4
"COG0142",6,9,8,9,10,3
"COG0143",12,9,14,7,13,13
"COG0144",10,4,10,7,3,11
"COG0145",0,0,0,1,0,3
"COG0147",7,2,2,4,2,1
"COG0148",10,7,9,6,5,3
"COG0149",3,5,2,5,2,3
"COG0150",3,3,3,6,5,4
"COG0151",5,4,2,15,4,4
"COG0152",6,1,3,5,7,9
"COG0153",2,3,3,5,5,4
"COG0154",5,2,6,2,1,3
"COG0155",0,0,0,0,0,1
"COG0156",2,3,9,5,7,3
"COG0157",0,3,3,1,6,4
"COG0158",1,0,0,0,0,0
"COG0159",6,2,1,5,3,2
"COG0160",2,1,0,2,0,1
"COG0161",1,3,1,0,0,2
"COG0162",8,4,5,4,4,10
"COG0163",1,0,0,1,0,0
"COG0164",1,6,4,5,4,3
"COG0165",11,2,4,7,4,10
"COG0166",3,6,6,10,5,9
"COG0167",6,5,6,8,2,9
"COG0168",15,11,17,9,17,13
"COG0169",3,8,3,5,2,8
"COG0171",1,1,1,8,6,9
"COG0172",3,2,5,4,3,6
"COG0173",10,11,15,6,5,7
"COG0174",7,3,2,1,1,6
"COG0175",4,3,3,2,2,1
"COG0176",5,3,6,0,0,6
"COG0177",1,5,8,7,2,4
"COG0178",15,10,18,24,24,22
"COG0179",2,2,4,1,4,2
"COG0180",11,5,3,12,9,6
"COG0181",0,1,0,2,1,0
"COG0182",0,1,0,0,0,1
"COG0183",4,1,0,0,1,4
"COG0184",1,1,0,3,0,1
"COG0185",2,3,3,2,1,2
"COG0186",1,4,3,3,1,1
"COG0187",18,19,25,18,21,13
"COG0188",25,24,19,17,25,31
"COG0189",0,0,1,1,1,1
"COG0190",5,6,1,9,8,5
"COG0191",10,9,4,7,12,7
"COG0192",5,4,5,17,10,7
"COG0193",3,4,3,3,2,6
"COG0194",5,4,7,2,5,7
"COG0195",6,8,4,7,9,4
"COG0196",5,3,6,0,2,5
"COG0197",3,5,2,4,8,3
"COG0198",3,5,3,2,1,3
"COG0199",1,1,0,3,3,1
"COG0200",0,1,4,2,1,4
"COG0201",9,4,13,4,8,7
"COG0202",3,10,3,6,1,7
"COG0203",1,6,3,3,2,8
"COG0204",7,7,10,6,7,7
"COG0205",14,26,7,16,18,22
"COG0206",7,4,3,11,11,8
"COG0207",4,3,3,4,2,2
"COG0208",5,0,1,1,1,2
"COG0209",4,5,3,2,4,6
"COG0210",28,17,24,37,21,14
"COG0211",2,2,0,2,1,1
"COG0212",3,2,2,5,2,0
"COG0213",1,3,4,0,0,5
"COG0214",3,0,0,2,4,4
"COG0215",5,12,10,16,7,8
"COG0216",8,5,7,4,5,4
"COG0217",5,2,3,2,2,2
"COG0218",3,6,6,1,3,1
"COG0219",2,2,1,0,0,2
"COG0220",2,3,4,1,7,1
"COG0221",3,0,0,2,0,1
"COG0222",2,3,3,0,3,0
"COG0223",3,4,4,6,3,6
"COG0224",1,6,3,7,13,6
"COG0225",2,1,3,1,1,0
"COG0226",8,8,3,9,3,2
"COG0227",0,0,0,2,0,1
"COG0228",1,0,1,1,2,1
"COG0229",1,1,1,0,0,0
"COG0230",1,0,0,1,0,0
"COG0231",3,4,2,6,5,3
"COG0232",3,5,10,3,1,3
"COG0233",3,5,1,7,2,4
"COG0234",2,0,2,1,0,1
"COG0235",6,11,1,10,5,8
"COG0236",0,0,4,1,2,2
"COG0237",2,3,3,1,2,4
"COG0238",2,3,3,1,4,5
"COG0239",1,0,0,0,1,2
"COG0240",5,8,8,7,4,3
"COG0241",0,1,0,4,1,6
"COG0242",9,4,4,2,3,4
"COG0243",7,0,1,4,3,0
"COG0244",2,5,4,2,0,4
"COG0245",2,5,2,1,4,5
"COG0246",8,7,2,9,13,9
"COG0247",0,2,2,2,4,1
"COG0248",2,3,0,0,1,2
"COG0249",7,27,28,12,13,7
"COG0250",3,8,3,1,0,1
"COG0251",1,3,0,4,7,4
"COG0252",6,3,6,4,3,2
"COG0253",3,2,7,4,7,10
"COG0254",0,1,2,1,0,1
"COG0255",1,2,0,0,0,1
"COG0256",3,3,3,5,4,6
"COG0257",0,0,0,0,0,2
"COG0258",7,6,10,17,7,8
"COG0259",0,0,0,1,0,0
"COG0260",1,0,0,0,0,0
"COG0261",0,2,2,3,1,4
"COG0262",4,3,4,2,2,0
"COG0263",2,3,1,3,4,8
"COG0264",5,3,9,7,3,3
"COG0265",4,3,5,17,6,6
"COG0266",0,1,2,1,0,1
"COG0267",1,0,1,0,1,0
"COG0268",0,0,3,0,1,1
"COG0269",1,0,1,0,0,0
"COG0270",2,7,3,16,13,11
"COG0272",8,14,15,2,9,9
"COG0274",6,0,1,5,7,2
"COG0275",4,7,7,3,8,8
"COG0276",0,0,0,1,0,0
"COG0277",5,3,2,2,1,5
"COG0279",0,0,0,1,0,0
"COG0280",7,8,10,11,18,6
"COG0281",4,5,3,7,8,7
"COG0282",2,6,4,5,7,4
"COG0283",1,1,2,5,7,5
"COG0284",7,3,3,5,6,4
"COG0285",8,5,1,5,4,5
"COG0286",13,23,10,15,7,13
"COG0287",2,1,0,5,0,5
"COG0288",1,2,1,0,4,0
"COG0289",6,3,5,5,2,4
"COG0290",1,0,0,5,3,1
"COG0291",1,0,0,0,1,1
"COG0292",3,3,3,1,0,1
"COG0294",4,5,3,1,4,3
"COG0295",0,3,5,1,5,2
"COG0296",13,10,12,6,9,11
"COG0297",7,8,3,8,4,4
"COG0298",0,0,0,0,1,1
"COG0299",5,2,1,2,1,3
"COG0300",4,6,6,3,3,3
"COG0301",6,2,3,2,2,5
"COG0302",1,0,1,6,4,0
"COG0303",2,0,2,3,0,1
"COG0304",11,4,12,10,8,5
"COG0305",8,8,12,11,8,4
"COG0306",1,0,2,1,0,2
"COG0307",2,2,1,1,6,4
"COG0308",7,0,0,0,0,0
"COG0309",3,3,2,3,0,1
"COG0310",0,1,0,0,0,1
"COG0311",0,0,1,1,1,2
"COG0312",2,0,1,3,3,2
"COG0313",3,6,7,2,6,4
"COG0315",1,0,0,1,0,4
"COG0316",1,0,0,0,1,0
"COG0317",10,20,20,10,15,14
"COG0318",7,8,18,9,9,9
"COG0319",3,1,3,3,6,1
"COG0320",1,3,2,0,1,1
"COG0321",0,1,2,0,1,0
"COG0322",9,9,5,4,1,1
"COG0323",7,9,8,10,8,7
"COG0324",12,8,9,5,8,5
"COG0325",3,3,3,3,6,2
"COG0326",10,11,10,6,7,10
"COG0327",2,4,0,2,3,1
"COG0328",1,1,0,1,0,0
"COG0329",5,10,8,11,8,8
"COG0330",2,7,6,5,3,2
"COG0331",3,2,1,3,6,4
"COG0332",4,4,10,5,11,5
"COG0333",0,0,0,1,0,0
"COG0334",8,7,8,18,9,8
"COG0335",1,1,8,6,1,1
"COG0336",8,6,7,2,1,5
"COG0337",4,6,4,2,4,7
"COG0338",0,5,3,3,1,2
"COG0339",1,7,10,10,9,2
"COG0340",9,6,6,1,7,6
"COG0341",6,7,4,1,0,5
"COG0342",3,9,5,13,21,12
"COG0343",6,8,7,8,7,4
"COG0344",5,4,3,0,0,3
"COG0345",5,7,4,5,5,3
"COG0346",2,4,12,4,3,4
"COG0347",2,1,0,4,6,5
"COG0348",3,2,6,3,1,5
"COG0349",2,0,0,0,0,0
"COG0350",0,2,1,3,4,0
"COG0351",9,4,1,6,13,3
"COG0352",4,2,4,8,2,2
"COG0353",4,7,3,8,4,5
"COG0354",0,0,2,0,0,0
"COG0355",0,4,1,1,0,1
"COG0356",4,6,3,4,2,3
"COG0357",8,6,5,5,0,2
"COG0358",15,12,11,16,19,12
"COG0359",4,2,4,5,1,3
"COG0360",0,5,7,1,0,4
"COG0361",1,0,0,3,3,2
"COG0362",3,0,0,0,2,1
"COG0363",10,6,6,10,16,5
"COG0364",3,1,0,1,3,1
"COG0365",2,4,2,2,0,0
"COG0366",21,5,3,17,64,31
"COG0367",8,7,14,13,3,10
"COG0368",4,3,1,2,1,2
"COG0370",7,10,10,12,6,10
"COG0371",2,2,1,2,4,6
"COG0372",5,11,3,1,3,5
"COG0373",2,0,0,1,1,2
"COG0374",0,1,0,0,1,0
"COG0375",1,1,0,0,0,0
"COG0376",1,0,0,0,0,0
"COG0377",0,3,0,0,4,0
"COG0378",3,1,1,1,1,1
