"","NLM007","DLM013","NOM014","NOF007","DLM023","DOM008"
"COG0001",2,1,0,0,2,1
"COG0002",7,5,4,2,5,3
"COG0003",0,1,2,0,1,1
"COG0004",5,2,6,6,3,2
"COG0005",2,3,1,0,1,3
"COG0006",13,15,13,7,15,12
"COG0007",2,3,1,1,4,0
"COG0008",11,14,19,9,23,15
"COG0009",3,6,7,2,0,1
"COG0010",1,4,0,4,1,0
"COG0011",0,0,0,0,0,0
"COG0012",9,3,4,5,3,6
"COG0013",14,7,11,10,13,13
"COG0014",4,4,3,4,3,9
"COG0015",11,8,6,5,5,7
"COG0016",2,1,5,8,5,4
"COG0017",7,6,4,0,3,2
"COG0018",11,11,11,9,3,10
"COG0019",11,6,10,3,10,6
"COG0020",5,3,4,3,1,5
"COG0021",4,8,8,1,3,4
"COG0022",0,2,0,0,1,7
"COG0023",1,1,1,0,0,0
"COG0024",5,7,10,13,4,13
"COG0025",1,2,0,0,0,0
"COG0026",0,0,0,0,0,0
"COG0027",0,2,5,1,1,2
"COG0028",13,5,12,9,20,11
"COG0029",6,6,10,3,2,4
"COG0030",0,3,2,10,10,3
"COG0031",7,6,11,7,8,7
"COG0033",0,0,0,0,0,0
"COG0034",7,13,15,5,7,10
"COG0035",4,5,7,4,7,4
"COG0036",4,4,1,2,3,1
"COG0037",9,10,14,9,9,10
"COG0038",4,5,2,12,5,6
"COG0039",4,3,13,12,9,8
"COG0040",4,6,3,2,5,8
"COG0041",3,2,4,4,4,3
"COG0042",14,7,10,6,7,7
"COG0043",0,1,0,0,1,1
"COG0044",4,3,7,7,11,7
"COG0045",1,2,0,1,0,0
"COG0046",17,14,12,12,12,11
"COG0047",16,12,12,8,16,10
"COG0048",1,2,1,2,1,2
"COG0049",3,5,3,2,5,1
"COG0050",6,4,2,9,4,7
"COG0051",1,5,4,1,0,3
"COG0052",0,3,3,3,2,3
"COG0053",10,1,7,6,5,4
"COG0054",1,1,5,2,0,2
"COG0055",7,3,2,8,11,6
"COG0056",8,6,11,7,4,9
"COG0057",7,7,4,0,4,2
"COG0058",13,10,11,7,11,12
"COG0059",6,8,9,2,3,5
"COG0060",4,3,6,10,19,7
"COG0061",5,7,4,2,4,3
"COG0062",4,7,5,5,6,6
